303@1@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
314@4@(<at351;at251:t51:d1><at465:t65:d5><at963:t63:d3><at227;at627:t27:d7><at3109:t109:d9><at837:t37:d7><at222;at722;at122:t22:d2><at911;at811:t11:d1><at839;at239;at939;at439:t39:d9><at579;at679;at479:t79:d9>#<at222;at722;at122:t22:d2,lt-104>)&(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
347@3@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)&(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
349@1@(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
349@4@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)&(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
361@1@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
364@3@(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)&(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)
365@3@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
368@4@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)&(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
369@3@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
369@1@(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)_(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
369@3@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
370@3@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)_(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)
371@1@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
372@4@(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)&(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)
373@4@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)_(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)
374@3@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)_(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
374@1@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
375@1@(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)&(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
375@1@(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)&(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
376@3@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
376@4@(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)_(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
376@1@(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)&(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)
376@3@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
377@1@(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)_(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
378@4@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
379@1@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)_(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)
380@3@(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)_(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
381@3@(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)&(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
383@2@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
386@2@(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
386@3@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)&(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
387@1@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)_(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
388@2@(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)_(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
388@1@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
389@1@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)&(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)
389@4@(<at351;at251:t51:d1><at465:t65:d5><at963:t63:d3><at227;at627:t27:d7><at3109:t109:d9><at837:t37:d7><at222;at722;at122:t22:d2><at911;at811:t11:d1><at839;at239;at939;at439:t39:d9><at579;at679;at479:t79:d9>#<at222;at722;at122:t22:d2,lt-104>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
391@1@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)&(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
391@2@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
391@1@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)_(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
391@3@(<at351;at251:t51:d1><at465:t65:d5><at963:t63:d3><at227;at627:t27:d7><at3109:t109:d9><at837:t37:d7><at222;at722;at122:t22:d2><at911;at811:t11:d1><at839;at239;at939;at439:t39:d9><at579;at679;at479:t79:d9>#<at222;at722;at122:t22:d2,lt-104>)_(<at458:t58:d8><at655:t55:d5><at339;at939:t39:d9><at593:t93:d3><at357;at157:t57:d7><at652:t52:d2><at689;at589;at089:t89:d9><at692;at992:t92:d2><at899:t99:d9><at183;at983;at383;at083:t83:d3>#<at652:t52:d2,at297:t97:d7,false-37>)
392@1@(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)_(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
392@4@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)&(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
393@2@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)_(<at8910:t910:d10><at259;at159;at659;at859:t59:d9><at859:t59:d9><at565:t65:d5><at226:t26:d6><at323;at723;at823;at423:t23:d3><at4710:t710:d10><at6310:t310:d10><at072:t72:d2><at099;at299;at399:t99:d9>#<at859:t59:d9,gt-850>)
393@4@(<at1075:t75:d5><at537:t37:d7><at1068:t68:d8><at037;at137:t37:d7><at062;at462:t62:d2>#<at1075:t75:d5,at439;at739;at239;at839:t39:d9,gte-355>)&(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
393@4@(<at81010:t1010:d10><at1077:t77:d7><at996:t96:d6><at276:t76:d6><at845;at745:t45:d5><at695:t95:d5><at385:t85:d5>#<at276:t76:d6,at439;at739;at239;at839:t39:d9,gte-355>)_(<at814;at014;at614;at314:t14:d4><at1042:t42:d2>#<at814;at014;at614;at314:t14:d4,at679;at979;at779:t79:d9,lt-764>)
393@1@(<at464:t64:d4><at657:t57:d7><at952;at352;at152;at752:t52:d2><at9106:t106:d6><at077;at777;at677:t77:d7><at596;at496;at996:t96:d6><at7410:t410:d10><at994;at094:t94:d4>#<at994;at094:t94:d4,at439;at739;at239;at839:t39:d9,gte-355>)&(<at296:t96:d6><at982;at282;at082;at182:t82:d2><at792:t92:d2><at382;at882;at182:t82:d2><at914;at814;at414:t14:d4><at338:t38:d8><at785;at185;at085:t85:d5><at658;at258:t58:d8><at396;at096;at196;at596:t96:d6><at554:t54:d4>#<at382;at882;at182:t82:d2,at246:t46:d6,gt-1414>)
393@2@(<at778:t78:d8><at081;at881;at781;at281:t81:d1>#<at778:t78:d8,at455:t55:d5,lte-465>)_(<at1099:t99:d9><at054;at554;at954:t54:d4><at779:t79:d9><at027;at727;at327:t27:d7><at758;at958;at658;at358:t58:d8>#<at027;at727;at327:t27:d7,at694:t94:d4,gte-641>)
